number,date,work,person_1,person_2,vedio,station,,,,place,others_1,others_2,
,日期,      活       （專場、隊、時間）,逗哏,捧哏,片源,網站,單/群,相聲劇, 返場 （已觀看）,地點/專場/其他,補充,,
88,20180510,返場（三節）,高峰,欒雲平,高?bot之?史上的今天,微博,,, ν,三裡屯晚場,三節：欒忘詞,,
89,20180512,五行詩,燒餅,楊九郎,瞎發揮字幕組,微博,,,,湖廣會場,,,
90,20180512,誇住宅,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,天橋劇場,,,
91,20180512,打燈謎,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,天橋劇場,,,
92,20180513,日本梆子,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,, ν,天橋午場,,,
93,20180513,勞動號子,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,天橋晚場,,,
94,20180603,賣估衣,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,宜州三寶,,,
95,20180606,繞口令,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,湖廣會場,,,
96,20180606,買賣論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,廣德樓晚場,,,
97,20180607,六口人,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,湖廣會場,,,
98,20180607,金蘭譜,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,廣德樓晚場,,,
99,20180612,學啞語,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣會場,,,
100,20180623,賣估衣,孟鶴堂,周九良,（製作中）,,,,,東營三寶,,,
101,20180712,批三國,董九涵,董九力,一?白?字幕?,YouTube,,,,三慶園,,,
102,20180731,打燈謎,劉筱亭,周九良,叫什麼不吃?字幕?,YouTube,,,,三裡屯午場,,,
103,20180803,口吐蓮花,孫九芳,周九良,叫什麼不吃?字幕?,YouTube,,,,三裡屯,,,
104,20180810,口吐蓮花,五隊（六隊 (?)）,,,,群,,,南京德雲社,,,
105,20180818,歪唱太平歌詞,張雲雷,楊九郎,保持圍笑好難呢,YouKu,,,,濟南專場,尖叫雞,,
106,20180821,學電台,張雲雷,李九天,,,,,,,,,
107,20180822,???,董九力,張雲雷,,,,,,三慶園,查作業,,
108,20180910,周文王,孟鶴堂,周九良,玩味??pleasure,YouTube,,,,鋼絲節,,,
109,20180910,跳大神,張鶴倫,郎鶴炎,玩味??pleasure,YouTube,,,,鋼絲節,,,
110,20180910,八大吉祥,燒餅,曹鶴陽,玩味??pleasure,YouTube,,,,鋼絲節,,,
111,20180910,歪唱太平歌詞,張雲雷,楊九郎,玩味??pleasure,YouTube,,,,鋼絲節,,,
112,20180910,樹沒葉,嶽雲鵬,孫越,玩味??pleasure,YouTube,,,,鋼絲節,,,
113,20180910,繞口令,高峰,欒雲平,玩味??pleasure,YouTube,,,,鋼絲節,,,
114,20180910,義氣千秋,郭德剛,於謙,玩味??pleasure,YouTube,,,,鋼絲節,,,
115,20180923,汾河灣,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,西安專場,,,
116,20180923,當行論,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,西安專場,,,
117,20180927,決賽壓活（選擇題）,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,煙台三寶,,,
118,20180927,返場,孟鶴堂、劉鶴春、李鶴彪,,叫什麼不吃?字幕?,微博,群,,ν,煙台三寶,歌：滴答,,
119,20180930,學啞語,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,寧波三寶,,,
120,20181001,黃鶴樓,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,舟山三寶,,,
121,20181011,繞口令,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,天橋劇場,,,
122,20181013,賣估衣,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,聊城三寶,洗腦手帕,,
123,20181020,繞口令,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,淄博專場,,,
124,20181123,偷斧子,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,武漢三寶,,,
125,20181124,三節拜花巷,張九齡,王九龍,一?白?字幕?,YouTube,,,,齡龍專場,,,
126,20181201,歪唱太平歌詞,張雲雷,楊九郎,lobe金萌萌,bilibili,,,,三慶園,,,
127,20181201,下象棋,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,北大專場,,,
128,20181201,繞口令,孟鶴堂,周九良,一?白?字幕?,YouTube,,,,北大專場,,,
129,20181201,結巴論,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,北大專場,,,
130,20181202,大保鑣,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,國圖專場,入錯活,彩虹襪,
131,20181208,買賣論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,南通三寶,,,
132,20181208,學啞語,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,南通三寶,,,
133,20181215,三節拜花巷,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,哈爾濱省親專場,良救場,,
134,20181215,瞧這一家子,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,哈爾濱省親專場,,,
